[2024-12-07T20:07:08.242+0000] {processor.py:186} INFO - Started process (PID=96) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-07T20:07:08.244+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-12-07T20:07:08.247+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:08.246+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-07T20:07:09.233+0000] {processor.py:925} INFO - DAG(s) 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-07T20:07:09.320+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.319+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2024-12-07T20:07:09.364+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.364+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-12-11 01:00:00+00:00, run_after=2024-12-11 01:00:00+00:00
[2024-12-07T20:07:09.371+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.371+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-12-07T20:07:09.374+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.374+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-12-07T20:07:09.376+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.376+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-12-07T20:07:09.379+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.379+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-12-07T20:07:09.382+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.381+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-12-07T20:07:09.383+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.383+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-12-07T20:07:09.385+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.385+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-12-07T20:07:09.389+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.389+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-12-06 00:00:00+00:00, run_after=2024-12-07 00:00:00+00:00
[2024-12-07T20:07:09.392+0000] {logging_mixin.py:190} INFO - [2024-12-07T20:07:09.392+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-12-07T20:07:09.448+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 1.212 seconds
